title,authors,genre,thumbnail,description,average_rating,cluster
If Tomorrow Comes,Sidney Sheldon,Adventure stories,http://books.google.com/books/content?id=l2tBi_jLuk8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,one of sidney sheldon most popular and bestselle title repackage and reissue for a new generation of fan,4.04,7
Assassin's Apprentice,Robin Hobb,American fiction,http://books.google.com/books/content?id=qTaGQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fantasyroman,4.15,7
Warhost of Vastmark,Janny Wurts,Fiction,http://books.google.com/books/content?id=uOL0fpS9WZkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,trick once more by his wily halfbrother lysaer lord of light arrive at the tiny harbor town of merior to find that arithon ship yard have be abandon and meticulously destroy and that the master of shadow have disappear as if into thin air meanwhile arithon and the mad prophet dakar be travel on foot through the treacherous kelhorn mountain towards the vastmark clan there to raise further support for his cause but raise a warhost be a costly business be it mere coincidence that princess talithlysaer beautiful headstrong wifeis take captive and hold for a vast ransom by a master brigand the force of light and shadow circle and feint drawing ever close to a huge conflict and in the background the fellowship of seven sorcerer and the koriani enchantress watch and plan and wait,4.03,0
The Once and Future King,Terence Hanbury White,Arthurian romances,http://books.google.com/books/content?id=Jx6BvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,an omnibus volume of the author complete story of the arthurian epic which include the sword in the stone 1939 the witch in the wood 1939 the illmade knight 1940 the candle in the wind publish for the first time and the book of merlyn 1996,4.04,7
Murder in LaMut,Raymond E. Feist;Joel Rosenberg,Adventure stories,http://books.google.com/books/content?id=I2jbBlMHlAMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,available in the us for the first time this be the second volume in the exceptional legend of the riftwar series from new york timesbestselling author feist and rosenberg,3.7,7
Jimmy the Hand,Raymond E. Feist;S. M. Stirling,Fantasy fiction,http://books.google.com/books/content?id=hV4-oITYFN8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,jimmy the hand boy thief of krondor live in the shadow of the city though gift beyond his peer jimmy be merely a pickpocket with potentialuntil he aid prince arutha in the rescue of princess anita from duke guy du bastyra and run afoul of black guy secret police face a choice between disappear on his own or in a weighted barrel at the bottom of krondor harbor jimmy choose the former force to flee the only home he s ever know jimmy find himself among the unsuspecting rural villager of land end where he hope to prosper with his talent for con and thievery but land end be home to many who tread the crooked pathand to a dark dangerous presence even the local smuggler do not recognize and suddenly jimmy youthful bravado and courage be lead he into the maw of chaos and quite possibly to his doom,3.95,7
Witness for the Prosecution & Selected Plays,Agatha Christie,English drama,http://books.google.com/books/content?id=_9u7AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,newlyjackete edition design to celebrate the 50th anniversary of christie s faultlessly plot witness for the prosecution and other outstanding play the perfect complement to the late edition of the mousetrap and select play 50th aniversary edition headline this book be witness for the prosecution christie s highly successful stage play which win the new york drama critic circle award for good foreign play a stunning courtroom drama it tell the story of a scheming wife testify against her husband in a shocking murder trial the wild beauty of a seaside house perch high on the devonshire river tern provide a stunning backdrop in towards zero as a psychopathic murderer home in on the unsuspecting victim passion murder and love be the deadly ingredient in verdict make it one of christie s more unusual thriller and prompt she to label it the good play I have write with the exception of witness for the prosecution go back for murder tell the story of the young and feisty carla who orphan at the tender age of five discover her mother be imprisione for murder her father and determine to prove her innocence,4.05,7
The Little House,Philippa Gregory,Country life,http://books.google.com/books/content?id=rbvUPps9vKsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,it be easy for elizabeth she marry the man she love it be hard for ruth she marry elizabeth son and then find that somehow she could never quite measure up this thriller examine what woman want and what they fear as ruth confront the shift border of her own sanity,3.66,7
Mystical Paths,Susan Howatch,English fiction,http://books.google.com/books/content?id=by4ytBy63o0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1968 find nichola darrow wrestle with personal problem how can he marry rosalind when he be unable to avoid promiscuity how can he become a priest when he find it so difficult to live as one and can he break his dangerous dependence on his father,4.23,7
Glittering Images,Susan Howatch,English fiction,http://books.google.com/books/content?id=rDHbn0ORKhQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,it be 1937 and charle ashworth a canon to the archbishop of canterbury be send to untangle a web of selfdelusion and corruption at the episcopal palace of the charismatic bishop of starbridge,4.07,7
Glamorous Powers,Susan Howatch,Clergy,http://books.google.com/books/content?id=_bhPYWs6RrYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,reissue of the author most famous and welllove work the starbridge series six selfcontaine yet interconnect novel that explore the history of the church of england through the 20th century,4.2,7
The Mad Ship,Robin Hobb,Fantasy fiction,http://books.google.com/books/content?id=2iWezkfdBE8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fantasy master robin hobb deliver the stunning second volume of her liveship trader trilogy return to the timeless city of bingtown where pirate now plague the coast and the dreaded slave trade flourish althea vestrit do not have time to be afraid for her family newly awaken liveship vivacia have be seize by the ruthless pirate kennit so althea hatch a bold plan but to carry it out she must recruit a liveship that have already slay two crew and be say to be insane,4.24,7
Post Captain,Patrick O'Brian,"Aubrey, Jack (Fictitious character)",http://books.google.com/books/content?id=S761k-z51Q4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,this tale begin with jack aubrey arrive home from his exploit in the mediterranean to find england at peace follow the treaty of amien he and his friend stephen maturin surgeon and secret agent begin to live the life of country gentleman hunt entertain and enjoy more amorous adventure their comfortable existence however be cut short when jack be overnight reduce to a pauper with enough debt to keep he in prison for life he flee to the continent to seek refuge instead he find himself a hunt fugitive as napoleon have order the internment of all englishman in france aubrey adventure in escape from france and the debtor prison will grip the reader as fast as his unequalled action at sea,4.29,7
The Reverse of the Medal,Patrick O'Brian,Adventure stories,http://books.google.com/books/content?id=YtjxFRb39Z4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,in this book jack aubrey return from his duty protect whaler off the south american coast and be persuade by a casual acquaintance to make investment in the city on the strength of supposedly certain information from there he be lead into the halfworld of the london criminal underground and of government espionage the province of his friend stephen maturin,4.41,7
Miss Marple,Agatha Christie,"Detective and mystery stories, English",http://books.google.com/books/content?id=a96qPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,miss marple feature in 20 short story publish in a number of different collection in britain and america present here in their order of publication miss marple use her unique insight to deduce the truth about a series of unsolved crime,4.2,7
The Years of Rice and Salt,Kim Stanley Robinson,Black Death,http://books.google.com/books/content?id=I38CFD1RnmsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,hail by the new york times book review as eyeopene this alternative history of the last 600 year begin as the black death kill nearly everyone in europe and china india and the nation of islam now control the world,3.73,7
Spares,Michael Marshall Smith,Human cloning,http://books.google.com/books/content?id=83RrAdP9y5UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,spares human clone the ultimate health insurance an eye for an eye but some people be do all the take the story of jack randall burntout drop out and way overdrawn at the luck bank but as caretaker on a spare farm he still have a choice and it might make a difference,4.13,7
Gravity,Tess Gerritsen,Science fiction,http://books.google.com/books/content?id=KI66cH39n6sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,emma watson a research physician have be train for the mission of a lifetime to study living organism in the microgravity of space but the true and lethal nature of the experiment have not be reveal to nasa and once aboard the space station thing start to go wrong a culture of singlecelle archaeon gather from the deep sea begin to rapidly multiply and infect the crew with deadly and agonising result as her estranged husband and ground crew at nasa work against the clock to launch a rescue emma stuggle to contain the lethal microbe but with the contagion threaten earth population there be those who would leave the astronaut strand in orbit quarantine aboard the station,4.04,7
The Wise Woman,Philippa Gregory,Great Britain,http://books.google.com/books/content?id=BEr9wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,alone and vulnerable alys join a nunnery in an attempt to escape poverty but find herself throw back into the outside world when henry viiis wrecker destroy her sanctuary with nothing but she look her magic and her own instinctive cunning alys have to tread a perilous path between the faith of her childhood and her own female power when she fall in love with hugo the feudal lord and another womans husband she dip into witchcraft to defeat her rival and to win her lover only to find that magic make a poor servant but a dominant master since heresy against the new church mean the stake and witchcraft the rope alyss danger be mortal a woman power be not long safe to use,3.31,7
Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,American fiction,http://books.google.com/books/content?id=xLwHHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,girl night in feature story about grow up grow out of move out move on fall apart and get it all together so turn off your cell phone and curl up on the couch this be one girl night in you will not want to miss,3.26,7
The White Album,Joan Didion,American essays,http://books.google.com/books/content?id=qauOPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,this collection of essay recount what take place on the long morning after the 1960 when everyone be come down from their particular bad trip didion observe the drama that explode as america go into collective detox the mother abandon her fiveyearold daughter on the central reservation of interstate 5 huey newton and the black panther preach from their cell student in unconscious parody simulate the disaffection of the 1960,4.17,7
The Bonesetter's Daughter,Amy Tan,China,http://books.google.com/books/content?id=4KHT6mIMDt4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,tell the story of three generation of chinese woman begin at the turn of the century,3.98,7
The Lexus and the Olive Tree,Thomas L. Friedman,Capitalism,http://books.google.com/books/content?id=u8zxpq6o7HYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,half of this new postcold war world be intent on build a well lexus on streamline their society and economy for the global marketplace while the other half be lock in elemental struggle over who own which olive tree which strip of land,3.59,7
'Tis,Frank McCourt,Ireland,http://books.google.com/books/content?id=Q3BhQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,from the pulizer prizewinne author of the 1 new york times bestseller angelas ashe frank mccourts glorious childhood memoir angelas ashe have be love and celebrate by reader everywhere it win the national book critic circle award the los angeles times book award and the pulitzer prize rarely have a book so swiftly find its place on the literary landscape and now we have ti the story of franks american journey from impoverished immigrant to brilliant teacher and raconteur frank land in new york at age nineteen and get a job at the biltmore hotel where he immediately encounter the vivid hierarchy of this classless country and then be draft into the army and be send to germany to train dog and type report it be frank incomparable voice that render these experience spellbind when frank return to america in 1953 he work on the dock always resist what everyone tell he he know that he should be get an education and though he leave school at fourteen he talk his way into new york university there he fall in love with the quintessential yankee and try to live his dream but it be not until he start to teach that frank find his place in the world,3.68,7
Ocean Star Express,Mark Haddon;Peter Sutton,Juvenile Fiction,http://books.google.com/books/content?id=I2QZAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,joe and his parent be enjoy a summer holiday by the sea at the ocean star hotel the sky be bright blue the sun shine and joe love all that the seaside have to offer but when the fog roll in and rain fall joe begin to wish that he be back at home again thing change however when the owner of the hotel invite joe to share in a magical world only a few step away the loft be black as night but then above joe head a thousand tiny star begin to sparkle and in the distance he hear the chugchugchug of a model train a whole world be soon to open up before joe eye a world of snowcappe mountain great desert and rock fishing boat,3.5,1
A Small Pinch of Weather,Joan Aiken,"Children's stories, English",http://books.google.com/books/content?id=QiFhOBpYZoYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a magical and fantastic collection of early story by one of the most original children author of the 20th century for 811 year old,4.27,7
Koko,Peter Straub,Male friendship,http://books.google.com/books/content?id=QV_XQKj4OMkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,koko be peter straub foray into the psychological horror of the vietnam war,3.56,7
Tree and Leaf,John Ronald Reuel Tolkien,Literary Collections,http://books.google.com/books/content?id=aPb_AAIcwZ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,the two work on fairystorie and leaf by niggle be first bring together to form the book tree and leaf in 1964 in this new edition a third element be add the poem mythopoeia the making of mythspreface,4.09,7
Partners in Crime,Agatha Christie,"Beresford, Tommy (Fictitious character)",http://books.google.com/books/content?id=L0bfy0zgkegC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the famous volume of tommy tuppence link short story reissue in a new look to coincide with the brand new series of tommy tuppence bbc movie tommy and tuppence beresford be restless for adventure so when they be ask to take over blunt s international detective agency they leapt at the chance after their triumphant recovery of a pink pearl intriguing case keep on come their way a stabbing on sunningdale golf course cryptic message in the personal column of newspaper and even a box of poison chocolate,3.77,7
Murder in Mesopotamia,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=oFkbc7BbYN0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,an archaeologist wife be murder on the shore of the river tigris in iraq it be clear to amy leatheran that something sinister be go on at the hassanieh dig in iraq something associate with the presence of lovely louise wife of celebrate archaeologist dr leidner in a few day time hercule poirot be due to drop in at the excavation site but with louise suffering from terrifying hallucination and tension within the group become almost unbearable poirot might just be too late,3.89,7
"The Lord of the Rings, the Return of the King",Jude Fisher,Imaginary wars and battles,http://books.google.com/books/content?id=kNBnQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a visual guide to the third in the lord of the ring movie trilogy a largeformat fullcolour guide to the character place landscape artefact battle and costume as see in the film it feature image informative text and specially commission extra,4.59,7
All Families are Psychotic,Douglas Coupland,Dysfunctional families,http://books.google.com/books/content?id=jYBsNp6NPVoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,on the eve of the next space shuttle mission a divide family come together warm witty and wise all family be psychotic be coupland at the very top of his form irresistibly hilarious unique and wonderful independent on sunday in a cheap motel an hour from cape canaveral janet drummond take her medication and do a rapid tally of the whereabouts of her child wade have spend the night in jail suicidal bryan be due to arrive at any moment with his vowelfree girlfriend shw and then there be sarah a bolt of lightning freeze in midflash here in orlando to be the star of fridays shuttle mission with janets exhusband and his trophy wife also in town janet spend a moment contemplate her family and where it all go wrong or do it,3.69,7
Death in the Clouds,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=M8iyckq4GQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,a woman be kill by a poisoned dart in the enclose confine of a commercial passenger plane from seat no9 hercule poirot be ideally place to observe his fellow air passenger over to his right sit a pretty young woman clearly infatuate with the man opposite ahead in seat no13 sit a countess with a poorlyconceale cocaine habit across the gangway in seat no8 a detective writer be be trouble by an aggressive wasp what poirot do not yet realize be that behind he in seat no2 sit the slump lifeless body of a woman,3.8,7
Appointment with Death,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=lSYwsRkcw4YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a repugnant amercian widow be kill during a trip to petra among the tower red cliff of petra like some monstrous swollen buddha sit the corpse of mrs boynton a tiny puncture mark on her wrist be the only sign of the fatal injection that have kill she with only 24 hour available to solve the mystery hercule poirot recall a chance remark he d overheard back in jerusalem you see do not you that she s get to be kill mrs boynton be indeed the most detestable woman he d ever meet,3.86,7
Hallowe'en Party,Agatha Christie,"Poirot, Hercule (Fictitious character)",http://books.google.com/books/content?id=Qlx98EGK_jMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,no one believe a little girl when she insist that she have witness a murder until she herself turn up drown and hercule poirot set out to catch the killer,3.66,7
Hercule Poirot's Christmas,Agatha Christie,Christmas stories,http://books.google.com/books/content?id=EA0j4Jzn4vAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,on the night before christmas cruel tyrannical filthyrich simeon lee be find in his locked bedroom with his throat cut now hercule poirot must put his deductive power to the test to solve one of his most chilling casesand to prevent a clever killer from spill more blood,3.93,7
The Big Four,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=wcOQUSWQEdUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a ruthless international cartel seek world domination frame in the doorway of poirot bedroom stand an uninvited guest coat from head to foot in dust the mans gaunt face stare for a moment then he sway and fall who be he be he suffer from shock or just exhaustion above all what be the significance of the figure 4 scribble over and over again on a sheet of paper poirot find himself plunge into a world of international intrigue risk his life to uncover the truth about number four,3.59,7
The Thirteen Problems,Agatha Christie,"Detective and mystery stories, English",http://books.google.com/books/content?id=MK9JNwoZAncC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the tuesday night club be a venue where local challenge miss marple to solve recent crime one tuesday evening a group gather at miss marples house and the conversation turn to unsolved crime the case of the disappear bloodstain the thief who commit his crime twice over the message on the deathbed of a poisoned man which read heap of fish the strange case of the invisible will a spiritualist who warn that blue geranium mean death now pit your wit against the power of deduction of the tuesday night club,3.89,7
They Do it with Mirrors,Agatha Christie,American fiction,http://books.google.com/books/content?id=HUuQYGppZi8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,a man be shoot at in a juvenile reform home but someone else die miss marple sense danger when she visit a friend live in a victorian mansion which double as a rehabilitiation centre for delinquent her fear be confirm when a youth fire a revolver at the administrator lewis serrocold neither be injure but a mysterious visitor mr gilbrandsen be less fortunate shot dead simultaneously in another part of the building pure coincidence miss marple think not and vow to discover the real reason for mr gilbrandsens visit,3.75,7
A Murder is Announced,Agatha Christie,"Detective and mystery stories, English",http://books.google.com/books/content?id=QEEvzeAkdzoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the villager of chip cleghorn be amazed by an advertisement in the local paper which read a murder be announce and will take place on friday october 29th at little paddock at 630pm unable to resist a crowd begin to gather at the house at the appoint time but when a man be kill in what look like an attempt robbery miss marple become involved,3.98,7
The Mirror Crack'd from Side to Side,Agatha Christie,"Marple, Jane (Fictitious character)",http://books.google.com/books/content?id=lTYId7FIJEsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,one minute silly heather badcock have be gabble on at her movie idol the glamorous marina gregg the next heather suffer a massive seizure but for whom be the deadly poison really intend marina s frozen expression suggest she have witness something horrific but while other search for material evidence jane marple conduct a very different investigation into human nature,3.91,7
Mrs McGinty's Dead,Agatha Christie,Belgians,http://books.google.com/books/content?id=gcS0d5HhGEEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,an old widow be brutally kill in the parlour of her cottage mrs mcginty die from a brutal blow to the back of her head suspicion fall immediately on her shifty lodger james bentley whose clothe reveal trace of the victim blood and hair yet something be amiss bentley just do not look like a murderer poirot believe he could save the man from the gallow what he do not realise be that his own life be now in great danger,3.83,7
Taken at the Flood,Agatha Christie,Fiction,http://books.google.com/books/content?id=3gWlxIFlMEwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a few week after marry an attractive young widow gordon cloade be tragically kill by a bomb blast in the london blitz overnight the former mrs underhay find herself in sole possession of the cloade family fortune shortly afterwards hercule poirot receive a visit from the dead man s sisterinlaw who claim she have be warn by spirit that mrs underhay s first husband be still alive poirot have his suspicion when he be ask to find a miss person guide only by the spirit world yet what mystifie poirot most be the woman s true motive for approach he,3.71,0
The Hollow,Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=-f1h4e0hl0oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,lucy angkatell invite hercule poirot to lunch to tease the great detective her guest stage a mock murder beside the swimming pool unfortunately the victim play the scene for real as his blood drip into the water john christow gasp one final word henrietta in the confusion a gun sink to the bottom of the pool poirot s enquiry reveal a complex web of romantic attachment it seem everyone in the drama be a suspect and each a victim of love,3.79,7
Third Girl,Agatha Christie,Belgians,http://books.google.com/books/content?id=Dbh7nUkG_6cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a perplexed girl think she might have kill someone three single girl share the same london flat the first work as a secretary the second be an artist the third who come to poirot for help disappear convince she be a murderer now there be rumour of revolver flickknive and blood stain but without hard evidence it would take all poirot tenacity to establish whether the third girl be guilty innocent or insane,3.62,7
The Secret of Chimneys,Agatha Christie,"Battle, Superintendent (Fictitious character)",http://books.google.com/books/content?id=1OluX5g96OcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a young drifter find more than he bargain for when he agree to deliver a parcel to an english country house,3.86,7
The Metaphysical Club,Louis Menand,Cambridge (Mass.),http://books.google.com/books/content?id=C3Gkwi3SfmMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,in an absorbing narrative about personality and social history menand discuss the metaphysical club an informal group that meet in cambridge massachusetts in 1872 to talk about idea member include oliver wendell holmes jr william james and charles sander peirce 21 photo,4.07,7
Wilkins' Tooth,Diana Wynne Jones,Business enterprises,http://books.google.com/books/content?id=lXUSHqQfOD8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,own back limitedrevenge arrange price accord to task all difficult task undertake treasure hunt etc it seem like a marvellous scheme at the time frank and jess have set up the business because they need money their pocketmoney have be stop just when frank owe buster knell ten penny their father have put a quick stop to errand run so why not try something that be bad instead offer to do dreadful thing that other people do not dare to do so they pin up the notice on the pottingshed and wait for customer but of course nothing ever that straightforward,3.59,7
Cut,Patricia McCormick,Emotional problems,http://books.google.com/books/content?id=Q140Mlie138C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fifteenyear old callie be so withdraw that she s not speak to anyone include her therapist at sea pine know to its guest as sick mind the residential treatment facility where her parent and doctor send she after discover that she cut herself her story unfold primarily through dramatic monologue gradually reveal the family turmoil that lead to her selfdestructive behaviour,3.76,7
The Lord of the Rings,Gary Russell,Characters and characteristics in motion pictures,http://books.google.com/books/content?id=oEZ6AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,with complete access to artwork create over a fiveyear period this guide illustrate the creative development of the return of the king it contain over 600 image from the early pencil sketch and conceptual drawing to magnificent painting sculpture and digital imagery that shape the look of the film contribute artist include john howe and alan lee artist who have inspire peter jackson vision of middleearth and work with he to bring the trilogy to the big screen peter jackson himself provide the afterword in which he discuss the importance of the conceptual art to the film it cover most aspect of the eagerly await finale to the enormously successful trilogy from location and costume to weaponry and creature the artist who create all of these diverse element explain how they contribute to the development of the film,4.54,7
The Lord of the Rings,John Ronald Reuel Tolkien,"Fantasy fiction, English",http://books.google.com/books/content?id=LwO-vgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,since it be first publish in 1954 the lord of the ring have be a book people have treasure steep in unrivalled magic and otherworldliness its sweeping fantasy have touch the heart of young and old alike well over 100 million copy of its many edition have be sell around the world and occasional collector edition become prized and valuable item of publishing with the epic trilogy now be release on film image of the character and landscape have become eagerly seek after much of the look of the movie be base on alan lees painting give this centenary edition of tolkien great work new relevance for the evergrowe number of fan,4.49,7
The Fellowship of the Ring,John Ronald Reuel Tolkien;Alan Lee,"Baggins, Frodo (Fictitious character)",http://books.google.com/books/content?id=K7xSPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,tolkien classic fantasy about the quest to save middleearthand the basis for peter jacksons academy awardwinne film trilogyis now available in these young reader edition each book of the trilogy be available individually or together in a threevolume paperback box set,4.35,7
Lirael,Garth Nix,Fantasy fiction,http://books.google.com/books/content?id=sDzU8TpKvQAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,when a dangerous necromancer threaten to unleash a longburie evil lirael and prince sameth be draw into a battle to save the old kingdom and reveal their true destiny suggest level secondary,4.3,7
Tales from the Perilous Realm,John Ronald Reuel Tolkien,"Fairy tales, English",http://books.google.com/books/content?id=Wla7NwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,never before publish in a single volume tolkien four novellas farmer gile of ham leaf by niggle smith of wootton major and roverandom and one book of poem the adventure of tom bombadil be gather together in a fully illustrate set,4.08,7
Breaking Open the Head,Daniel Pinchbeck,Hallucinogenic drugs,http://books.google.com/books/content?id=QIMaviqqoQoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a new the door of perception for the 21st century a visionary journey from cynicism to shamanism by a brilliant young us writer,4.06,7
