title,authors,genre,thumbnail,description,average_rating,main_genre
Warhost of Vastmark,Janny Wurts,fiction,http://books.google.com/books/content?id=uOL0fpS9WZkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,tricked once more by his wily halfbrother lysaer lord of light arrives at the tiny harbor town of merior to find that arithons ship yards have been abandoned and meticulously destroyed and that the master of shadow has disappeared as if into thin air meanwhile arithon and the mad prophet dakar are traveling on foot through the treacherous kelhorn mountains towards the vastmark clans there to raise further support for his cause but raising a warhost is a costly business is it mere coincidence that princess talithlysaers beautiful headstrong wifeis taken captive and held for a vast ransom by a master brigand the forces of light and shadow circle and feint drawing ever closer to a huge conflict and in the background the fellowship of seven sorcerers and the koriani enchantresses watch and plan and wait,4.03,Fiction
The Once and Future King,Terence Hanbury White,arthurian romances,http://books.google.com/books/content?id=Jx6BvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,an omnibus volume of the authors complete story of the arthurian epic which includes the sword in the stone 1939 the witch in the wood 1939 the illmade knight 1940 the candle in the wind published for the first time and the book of merlyn 1996,4.04,Non-Fiction
Murder in LaMut,Raymond E. Feist;Joel Rosenberg,adventure stories,http://books.google.com/books/content?id=I2jbBlMHlAMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,available in the us for the first time this is the second volume in the exceptional legends of the riftwar series from new york timesbestselling authors feist and rosenberg,3.7,Fiction
Jimmy the Hand,Raymond E. Feist;S. M. Stirling,fantasy fiction,http://books.google.com/books/content?id=hV4-oITYFN8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,jimmy the hand boy thief of krondor lived in the shadows of the city though gifted beyond his peers jimmy is merely a pickpocket with potentialuntil he aids prince arutha in the rescue of princess anita from duke guy du bastyra and runs afoul of black guys secret police facing a choice between disappearing on his own or in a weighted barrel at the bottom of krondors harbor jimmy chooses the former forced to flee the only home hes ever known jimmy finds himself among the unsuspecting rural villagers of lands end where he hopes to prosper with his talents for con and thievery but lands end is home to many who tread the crooked pathand to a dark dangerous presence even the local smugglers dont recognize and suddenly jimmys youthful bravado and courage are leading him into the maw of chaos and quite possibly to his doom,3.95,Fiction
Witness for the Prosecution & Selected Plays,Agatha Christie,english drama,http://books.google.com/books/content?id=_9u7AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,newlyjacketed edition designed to celebrate the 50th anniversary of christie s faultlessly plotted witness for the prosecution and other outstanding plays the perfect complement to the latest edition of the mousetrap and selected plays 50th aniversary edition headlining this book is witness for the prosecution christie s highly successful stage play which won the new york drama critics circle award for best foreign play a stunning courtroom drama it tells the story of a scheming wife testifying against her husband in a shocking murder trial the wild beauty of a seaside house perched high on the devonshire river tern provides a stunning backdrop in towards zero as a psychopathic murderer homes in on the unsuspecting victims passion murder and love are the deadly ingredients in verdict making it one of christie s more unusual thrillers and prompting her to label it the best play i have written with the exception of witness for the prosecution go back for murder tells the story of the young and feisty carla who orphaned at the tender age of five discovers her mother was imprisioned for murdering her father and determines to prove her innocence,4.05,Fiction
The Little House,Philippa Gregory,country life,http://books.google.com/books/content?id=rbvUPps9vKsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,it was easy for elizabeth she married the man she loved it was harder for ruth she married elizabeths son and then found that somehow she could never quite measure up this thriller examines what women want and what they fear as ruth confronts the shifting borders of her own sanity,3.66,Non-Fiction
Mystical Paths,Susan Howatch,english fiction,http://books.google.com/books/content?id=by4ytBy63o0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1968 finds nicholas darrow wrestling with personal problems how can he marry rosalind when he is unable to avoid promiscuity how can he become a priest when he finds it so difficult to live as one and can he break his dangerous dependence on his father,4.23,Fiction
Glittering Images,Susan Howatch,english fiction,http://books.google.com/books/content?id=rDHbn0ORKhQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,it is 1937 and charles ashworth a canon to the archbishop of canterbury is sent to untangle a web of selfdelusion and corruption at the episcopal palace of the charismatic bishop of starbridge,4.07,Fiction
Glamorous Powers,Susan Howatch,clergy,http://books.google.com/books/content?id=_bhPYWs6RrYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,reissue of the authors most famous and wellloved work the starbridge series six selfcontained yet interconnected novels that explore the history of the church of england through the 20th century,4.2,Non-Fiction
The Mad Ship,Robin Hobb,fantasy fiction,http://books.google.com/books/content?id=2iWezkfdBE8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fantasy master robin hobb delivers the stunning second volume of her liveship traders trilogy returning to the timeless city of bingtown where pirates now plague the coasts and the dreaded slave trade flourishes althea vestrit doesnt have time to be afraid for her familys newly awakened liveship vivacia has been seized by the ruthless pirate kennit so althea hatches a bold plan but to carry it out she must recruit a liveship that has already slain two crews and is said to be insane,4.24,Fiction
Post Captain,Patrick O'Brian,"aubrey, jack (fictitious character)",http://books.google.com/books/content?id=S761k-z51Q4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,this tale begins with jack aubrey arriving home from his exploits in the mediterranean to find england at peace following the treaty of amiens he and his friend stephen maturin surgeon and secret agent begin to live the lives of country gentlemen hunting entertaining and enjoying more amorous adventures their comfortable existence however is cut short when jack is overnight reduced to a pauper with enough debts to keep him in prison for life he flees to the continent to seek refuge instead he finds himself a hunted fugitive as napoleon has ordered the internment of all englishmen in france aubreys adventures in escaping from france and the debtors prison will grip the reader as fast as his unequalled actions at sea,4.29,Non-Fiction
The Reverse of the Medal,Patrick O'Brian,adventure stories,http://books.google.com/books/content?id=YtjxFRb39Z4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,in this book jack aubrey returns from his duties protecting whalers off the south american coast and is persuaded by a casual acquaintance to make investments in the city on the strength of supposedly certain information from there he is led into the halfworlds of the london criminal underground and of government espionage the province of his friend stephen maturin,4.41,Fiction
Miss Marple,Agatha Christie,"detective and mystery stories, english",http://books.google.com/books/content?id=a96qPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,miss marple featured in 20 short stories published in a number of different collections in britain and america presented here in their order of publication miss marple uses her unique insight to deduce the truth about a series of unsolved crimes,4.2,Fiction
The Years of Rice and Salt,Kim Stanley Robinson,black death,http://books.google.com/books/content?id=I38CFD1RnmsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,hailed by the new york times book review as eyeopening this alternative history of the last 600 years begins as the black death kills nearly everyone in europe and china india and the nations of islam now control the world,3.73,Non-Fiction
Spares,Michael Marshall Smith,human cloning,http://books.google.com/books/content?id=83RrAdP9y5UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,spares human clones the ultimate health insurance an eye for an eye but some people are doing all the taking the story of jack randall burntout dropped out and way overdrawn at the luck bank but as caretaker on a spares farm he still has a choice and it might make a difference,4.13,Non-Fiction
Gravity,Tess Gerritsen,science fiction,http://books.google.com/books/content?id=KI66cH39n6sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,emma watson a research physician has been training for the mission of a lifetime to study living organisms in the microgravity of space but the true and lethal nature of the experiment has not been revealed to nasa and once aboard the space station things start to go wrong a culture of singlecelled archaeons gathered from the deep sea begin to rapidly multiply and infect the crew with deadly and agonising results as her estranged husband and ground crew at nasa work against the clock to launch a rescue emma stuggles to contain the lethal microbe but with the contagion threatening earths population there are those who would leave the astronauts stranded in orbit quarantined aboard the station,4.04,Fiction
The Wise Woman,Philippa Gregory,great britain,http://books.google.com/books/content?id=BEr9wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,alone and vulnerable alys joins a nunnery in an attempt to escape poverty but finds herself thrown back into the outside world when henry viiis wreckers destroy her sanctuary with nothing but her looks her magic and her own instinctive cunning alys has to tread a perilous path between the faith of her childhood and her own female power when she falls in love with hugo the feudal lord and another womans husband she dips into witchcraft to defeat her rival and to win her lover only to find that magic makes a poor servant but a dominant master since heresy against the new church means the stake and witchcraft the rope alyss danger is mortal a womans powers are not longer safe to use,3.31,Non-Fiction
Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,american fiction,http://books.google.com/books/content?id=xLwHHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,girls night in features stories about growing up growing out of moving out moving on falling apart and getting it all together so turn off your cell phone and curl up on the couch this is one girls night in you wont want to miss,3.26,Fiction
The White Album,Joan Didion,american essays,http://books.google.com/books/content?id=qauOPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,this collection of essays recounts what took place on the long morning after the 1960s when everyone was coming down from their particular bad trip didion observes the dramas that explode as america goes into collective detox the mother abandoning her fiveyearold daughter on the central reservation of interstate 5 huey newton and the black panthers preaching from their cells students in unconscious parody simulating the disaffection of the 1960s,4.17,Non-Fiction
The Bonesetter's Daughter,Amy Tan,china,http://books.google.com/books/content?id=4KHT6mIMDt4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,tells the story of three generations of chinese women beginning at the turn of the century,3.98,Non-Fiction
The Lexus and the Olive Tree,Thomas L. Friedman,capitalism,http://books.google.com/books/content?id=u8zxpq6o7HYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,half of this new postcold war world is intent on building a better lexus on streamlining their societies and economies for the global marketplace while the other half is locked in elemental struggles over who owns which olive tree which strip of land,3.59,Non-Fiction
'Tis,Frank McCourt,ireland,http://books.google.com/books/content?id=Q3BhQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,from the pulizer prizewinning author of the 1 new york times bestseller angelas ashes frank mccourts glorious childhood memoir angelas ashes has been loved and celebrated by readers everywhere it won the national book critics circle award the los angeles times book award and the pulitzer prize rarely has a book so swiftly found its place on the literary landscape and now we have tis the story of franks american journey from impoverished immigrant to brilliant teacher and raconteur frank lands in new york at age nineteen and gets a job at the biltmore hotel where he immediately encounters the vivid hierarchies of this classless country and then is drafted into the army and is sent to germany to train dogs and type reports it is franks incomparable voice that renders these experiences spellbinding when frank returns to america in 1953 he works on the docks always resisting what everyone tells him he knows that he should be getting an education and though he left school at fourteen he talks his way into new york university there he falls in love with the quintessential yankee and tries to live his dream but it is not until he starts to teach that frank finds his place in the world,3.68,Non-Fiction
Ocean Star Express,Mark Haddon;Peter Sutton,juvenile fiction,http://books.google.com/books/content?id=I2QZAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,joe and his parents are enjoying a summer holiday by the sea at the ocean star hotel the sky is bright blue the sun shines and joe loves all that the seaside has to offer but when the fog rolls in and rain falls joe begins to wish that he was back at home again things change however when the owner of the hotel invites joe to share in a magical world only a few steps away the loft is black as night but then above joes head a thousand tiny stars begin to sparkle and in the distance he hears the chugchugchug of a model train a whole world is soon to open up before joes eyes a world of snowcapped mountains great deserts and rocking fishing boats,3.5,Children
A Small Pinch of Weather,Joan Aiken,"children's stories, english",http://books.google.com/books/content?id=QiFhOBpYZoYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a magical and fantastic collection of early stories by one of the most original childrens authors of the 20th century for 811 year olds,4.27,Children
Koko,Peter Straub,male friendship,http://books.google.com/books/content?id=QV_XQKj4OMkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,koko is peter straubs foray into the psychological horror of the vietnam war,3.56,Non-Fiction
Tree and Leaf,John Ronald Reuel Tolkien,literary collections,http://books.google.com/books/content?id=aPb_AAIcwZ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,the two works on fairystories and leaf by niggle were first brought together to form the book tree and leaf in 1964 in this new edition a third element is added the poem mythopoeia the making of mythspreface,4.09,Non-Fiction
Partners in Crime,Agatha Christie,"beresford, tommy (fictitious character)",http://books.google.com/books/content?id=L0bfy0zgkegC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the famous volume of tommy tuppence linked short stories reissued in a new look to coincide with the brand new series of tommy tuppence bbc movies tommy and tuppence beresford were restless for adventure so when they were asked to take over blunt s international detective agency they leapt at the chance after their triumphant recovery of a pink pearl intriguing cases kept on coming their way a stabbing on sunningdale golf course cryptic messages in the personal columns of newspapers and even a box of poisoned chocolates,3.77,Non-Fiction
Murder in Mesopotamia,Agatha Christie,detective and mystery stories,http://books.google.com/books/content?id=oFkbc7BbYN0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,an archaeologists wife is murdered on the shores of the river tigris in iraq it was clear to amy leatheran that something sinister was going on at the hassanieh dig in iraq something associated with the presence of lovely louise wife of celebrated archaeologist dr leidner in a few days time hercule poirot was due to drop in at the excavation site but with louise suffering from terrifying hallucinations and tension within the group becoming almost unbearable poirot might just be too late,3.89,Fiction
"The Lord of the Rings, the Return of the King",Jude Fisher,imaginary wars and battles,http://books.google.com/books/content?id=kNBnQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,a visual guide to the third in the lord of the rings movie trilogy a largeformat fullcolour guide to the characters places landscapes artefacts battles and costumes as seen in the film it features images informative text and specially commissioned extras,4.59,Non-Fiction
All Families are Psychotic,Douglas Coupland,dysfunctional families,http://books.google.com/books/content?id=jYBsNp6NPVoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,on the eve of the next space shuttle mission a divided family comes together warm witty and wise all families are psychotic is coupland at the very top of his form irresistibly hilarious unique and wonderful independent on sunday in a cheap motel an hour from cape canaveral janet drummond takes her medication and does a rapid tally of the whereabouts of her children wade has spent the night in jail suicidal bryan is due to arrive at any moment with his vowelfree girlfriend shw and then there is sarah a bolt of lightning frozen in midflash here in orlando to be the star of fridays shuttle mission with janets exhusband and his trophy wife also in town janet spends a moment contemplating her family and where it all went wrong or did it,3.69,Non-Fiction
Death in the Clouds,Agatha Christie,detective and mystery stories,http://books.google.com/books/content?id=M8iyckq4GQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,a woman is killed by a poisoned dart in the enclosed confines of a commercial passenger plane from seat no9 hercule poirot was ideally placed to observe his fellow air passengers over to his right sat a pretty young woman clearly infatuated with the man opposite ahead in seat no13 sat a countess with a poorlyconcealed cocaine habit across the gangway in seat no8 a detective writer was being troubled by an aggressive wasp what poirot did not yet realize was that behind him in seat no2 sat the slumped lifeless body of a woman,3.8,Fiction
Appointment with Death,Agatha Christie,detective and mystery stories,http://books.google.com/books/content?id=lSYwsRkcw4YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a repugnant amercian widow is killed during a trip to petra among the towering red cliffs of petra like some monstrous swollen buddha sat the corpse of mrs boynton a tiny puncture mark on her wrist was the only sign of the fatal injection that had killed her with only 24 hours available to solve the mystery hercule poirot recalled a chance remark hed overheard back in jerusalem you see dont you that shes got to be killed mrs boynton was indeed the most detestable woman hed ever met,3.86,Fiction
Hallowe'en Party,Agatha Christie,"poirot, hercule (fictitious character)",http://books.google.com/books/content?id=Qlx98EGK_jMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,no one believes a little girl when she insists that she has witnessed a murder until she herself turns up drowned and hercule poirot sets out to catch the killer,3.66,Non-Fiction
Hercule Poirot's Christmas,Agatha Christie,christmas stories,http://books.google.com/books/content?id=EA0j4Jzn4vAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,on the night before christmas cruel tyrannical filthyrich simeon lee is found in his locked bedroom with his throat cut now hercule poirot must put his deductive powers to the test to solve one of his most chilling casesand to prevent a clever killer from spilling more blood,3.93,Non-Fiction
The Big Four,Agatha Christie,detective and mystery stories,http://books.google.com/books/content?id=wcOQUSWQEdUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a ruthless international cartel seeks world domination framed in the doorway of poirots bedroom stood an uninvited guest coated from head to foot in dust the mans gaunt face stared for a moment then he swayed and fell who was he was he suffering from shock or just exhaustion above all what was the significance of the figure 4 scribbled over and over again on a sheet of paper poirot finds himself plunged into a world of international intrigue risking his life to uncover the truth about number four,3.59,Fiction
The Thirteen Problems,Agatha Christie,"detective and mystery stories, english",http://books.google.com/books/content?id=MK9JNwoZAncC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the tuesday night club is a venue where locals challenge miss marple to solve recent crimes one tuesday evening a group gathers at miss marples house and the conversation turns to unsolved crimes the case of the disappearing bloodstains the thief who committed his crime twice over the message on the deathbed of a poisoned man which read heap of fish the strange case of the invisible will a spiritualist who warned that blue geranium meant death now pit your wits against the powers of deduction of the tuesday night club,3.89,Fiction
They Do it with Mirrors,Agatha Christie,american fiction,http://books.google.com/books/content?id=HUuQYGppZi8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,a man is shot at in a juvenile reform home but someone else dies miss marple senses danger when she visits a friend living in a victorian mansion which doubles as a rehabilitiation centre for delinquents her fears are confirmed when a youth fires a revolver at the administrator lewis serrocold neither is injured but a mysterious visitor mr gilbrandsen is less fortunate shot dead simultaneously in another part of the building pure coincidence miss marple thinks not and vows to discover the real reason for mr gilbrandsens visit,3.75,Fiction
A Murder is Announced,Agatha Christie,"detective and mystery stories, english",http://books.google.com/books/content?id=QEEvzeAkdzoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,the villagers of chipping cleghorn are amazed by an advertisement in the local paper which reads a murder is announced and will take place on friday october 29th at little paddocks at 630pm unable to resist a crowd begins to gather at the house at the appointed time but when a man is killed in what looks like an attempted robbery miss marple becomes involved,3.98,Fiction
The Mirror Crack'd from Side to Side,Agatha Christie,"marple, jane (fictitious character)",http://books.google.com/books/content?id=lTYId7FIJEsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,one minute silly heather badcock had been gabbling on at her movie idol the glamorous marina gregg the next heather suffered a massive seizure but for whom was the deadly poison really intended marina s frozen expression suggested she had witnessed something horrific but while others searched for material evidence jane marple conducted a very different investigation into human nature,3.91,Non-Fiction
Mrs McGinty's Dead,Agatha Christie,belgians,http://books.google.com/books/content?id=gcS0d5HhGEEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,an old widow is brutally killed in the parlour of her cottage mrs mcginty died from a brutal blow to the back of her head suspicion fell immediately on her shifty lodger james bentley whose clothes revealed traces of the victims blood and hair yet something was amiss bentley just didnt look like a murderer poirot believed he could save the man from the gallows what he didnt realise was that his own life was now in great danger,3.83,Non-Fiction
Taken at the Flood,Agatha Christie,fiction,http://books.google.com/books/content?id=3gWlxIFlMEwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a few weeks after marrying an attractive young widow gordon cloade is tragically killed by a bomb blast in the london blitz overnight the former mrs underhay finds herself in sole possession of the cloade family fortune shortly afterwards hercule poirot receives a visit from the dead man s sisterinlaw who claims she has been warned by spirits that mrs underhay s first husband is still alive poirot has his suspicions when he is asked to find a missing person guided only by the spirit world yet what mystifies poirot most is the woman s true motive for approaching him,3.71,Fiction
The Hollow,Agatha Christie,detective and mystery stories,http://books.google.com/books/content?id=-f1h4e0hl0oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,lucy angkatell invited hercule poirot to lunch to tease the great detective her guests stage a mock murder beside the swimming pool unfortunately the victim plays the scene for real as his blood drips into the water john christow gasps one final word henrietta in the confusion a gun sinks to the bottom of the pool poirot s enquiries reveal a complex web of romantic attachments it seems everyone in the drama is a suspect and each a victim of love,3.79,Fiction
Third Girl,Agatha Christie,belgians,http://books.google.com/books/content?id=Dbh7nUkG_6cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a perplexed girl thinks she might have killed someone three single girls shared the same london flat the first worked as a secretary the second was an artist the third who came to poirot for help disappeared convinced she was a murderer now there were rumours of revolvers flickknives and blood stains but without hard evidence it would take all poirots tenacity to establish whether the third girl was guilty innocent or insane,3.62,Non-Fiction
The Secret of Chimneys,Agatha Christie,"battle, superintendent (fictitious character)",http://books.google.com/books/content?id=1OluX5g96OcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,a young drifter finds more than he bargained for when he agrees to deliver a parcel to an english country house,3.86,Non-Fiction
The Metaphysical Club,Louis Menand,cambridge (mass.),http://books.google.com/books/content?id=C3Gkwi3SfmMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,in an absorbing narrative about personalities and social history menand discusses the metaphysical club an informal group that met in cambridge massachusetts in 1872 to talk about ideas members included oliver wendell holmes jr william james and charles sanders peirce 21 photos,4.07,Non-Fiction
Wilkins' Tooth,Diana Wynne Jones,business enterprises,http://books.google.com/books/content?id=lXUSHqQfOD8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,own back limitedrevenge arranged price according to task all difficult tasks undertaken treasure hunted etc it seemed like a marvellous scheme at the time frank and jess had set up the business because they needed money their pocketmoney had been stopped just when frank owed buster knell ten pence their father had put a quick stop to errands run so why not try something that was bad instead offering to do dreadful things that other people didnt dare to do so they pinned up the notice on the pottingshed and waited for customers but of course nothings ever that straightforward,3.59,Non-Fiction
Cut,Patricia McCormick,emotional problems,http://books.google.com/books/content?id=Q140Mlie138C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fifteenyear old callie is so withdrawn that shes not speaking to anyone including her therapist at sea pines known to its guests as sick minds the residential treatment facility where her parents and doctor send her after discovering that she cuts herself her story unfolds primarily through dramatic monologues gradually revealing the family turmoil that led to her selfdestructive behaviour,3.76,Non-Fiction
The Lord of the Rings,Gary Russell,characters and characteristics in motion pictures,http://books.google.com/books/content?id=oEZ6AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,with complete access to artwork created over a fiveyear period this guide illustrates the creative development of the return of the king it contains over 600 images from the earliest pencil sketches and conceptual drawings to magnificent paintings sculptures and digital imagery that shaped the look of the film contributing artists include john howe and alan lee artists who have inspired peter jacksons vision of middleearth and worked with him to bring the trilogy to the big screen peter jackson himself provides the afterword in which he discusses the importance of the conceptual art to the film it covers most aspects of the eagerly awaited finale to the enormously successful trilogy from locations and costumes to weaponry and creatures the artists who created all of these diverse elements explain how they contributed to the development of the film,4.54,Non-Fiction
The Lord of the Rings,John Ronald Reuel Tolkien,"fantasy fiction, english",http://books.google.com/books/content?id=LwO-vgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,since it was first published in 1954 the lord of the rings has been a book people have treasured steeped in unrivalled magic and otherworldliness its sweeping fantasy has touched the hearts of young and old alike well over 100 million copies of its many editions have been sold around the world and occasional collectors editions become prized and valuable items of publishing with the epic trilogy now being released on film images of the characters and landscapes have become eagerly sought after much of the look of the movies is based on alan lees paintings giving this centenary edition of tolkiens great work new relevance for the evergrowing number of fans,4.49,Fiction
The Fellowship of the Ring,John Ronald Reuel Tolkien;Alan Lee,"baggins, frodo (fictitious character)",http://books.google.com/books/content?id=K7xSPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,tolkiens classic fantasy about the quest to save middleearthand the basis for peter jacksons academy awardwinning film trilogyis now available in these young readers editions each book of the trilogy is available individually or together in a threevolume paperback boxed set,4.35,Non-Fiction
